OBJECTID,GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2010,HA_90_10,HA_70_90,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,DISAB_ONE,DISAB_TWOMOR,DISAB_ANY,DIS_HEAR,DIS_VIS,DIS_COG,DIS_AMB,DIS_SLFCARE,POP_18OV,DIS_INDPLIV,DIS_UND18,DIS_18_64,DIS_65_75,DIS_75OV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,GlobalID
11,10,Norwood Park,37543,37023,38303,15323,2.47294916139137,39640.9183762549,2540.0366652117,7595.45525971192,5542.13705805325,8602.58271497163,7507.59668267132,4131.48232213007,2209.91837625491,1511.70929725011,41.2425199818306,27552.8996071584,7819.11828895679,373.240942819729,2798.39109559144,1097.2684417285,39192.3880764904,31701.1861711962,20434.4627472731,19561.3869476798,873.075799593271,11266.7234239231,18999.3161397671,1839.60232945092,17159.7138103161,13514.2390460344,1733.83656868183,1386.18154926974,420.45664633019,105,530582.579034942,1175.32625189681,5390.08345978756,6259.80222559434,2368.37025796662,28193.2579659537,2003.34570056744,6640.81449148843,5076.02793539939,1754.42295940637,7047.49628982977,5671.15058926233,1761.1811023622,2056.24634420697,1644.95163104612,1616.80089988751,3256.72553430821,4845.78965129359,107121.657284319,49303.0151719368,15181.6951631046,11962.6842672414,3226.75969827586,661.400449943757,15851.369612069,11005.0808189655,300.71875,1254,667,755.440732758621,550,1302.06142241379,17.0678879310345,6.25845508398522,155.206896551724,516.315732758621,1642.06142241379,10488.8125,3048.97306034483,1954.14568280038,1748.55603448276,4095.52586206897,6985.91379310345,2350.42456896552,670.949353448276,731,1878.85939257593,7262.89201349831,1998.07086614173,374377.945862176,3019.71541057368,125,294.311586051744,1217.15748031496,1010.16760404949,373.07874015748,1417.81844599232,14022.4623172103,851.314960629921,1159.23284589426,13609.4623172103,13303.6884139483,1572.23284589426,2360.03900905898,1821.85745978924,4181.89646884822,1087.110741357,774.740802366426,1163.12164910335,2452.14660750601,777.502495840266,29973.6736919948,1398.87243483084,278,1332.74579404696,1037.42078018118,1533.72989462008,18004,Education,Health Care,Public Administration,Retail Trade,Professional,2421,2335,2197,1481,1372,9498,Health Care,Administration,Retail Trade,Construction,Professional,4296,1101,709,677,508,Outside of Chicago,The Loop,Near North Side,Near West Side,Norwood Park,8435,4476,839,648,502,Outside of Chicago,Norwood Park,Portage Park,Dunning,West Ridge,5521,502,232,207,182,,,,14179.7883519,,,,,,,,,,2799.81341112071,1322.0589066566,0.472195361807129,133.300074500377,0.0476103421645584,12.973574516686,0.00463372825673154,99.8332514347748,0.0356571088052662,201.191638606135,0.0718589452450695,14.1706739481264,0.00506129226034894,896.927202648813,0.320352491736151,0,0,111.28096300055,0.0397458496907502,8.07712580865303,0.0028848800339948,4168.74578177728,4771.22159730034,2306.67041619798,3935.05736782902,10495.7030371204,843.928008998875,4685.99212598425,1043.35508345979,0,0,1043.35508345979,2433.30399595346,349.831562974203,472.969145169449,1610.50328780981,1620.33485078402,495.266565503288,389.940313606474,735.127971674254,9691.74709155286,6504.39504299444,2449.80930703086,737.542741527567,32364.5061933814,7281.1928267702,37108.9491588094,12218.7652061379,4115.82566093548,24890.1839526715,4440.47661305232,3505.35718247366,641,538.512479201331,235.893325938251,113,764.725827324829,1695.71898687373,284.080791273803,33176,2404,332,1212,419,,,,,,,,,,,,,,,,,,,,,,,,,42a75701-05ac-4c5b-8887-d8a237fcf5f8
12,11,Jefferson Park,25859,25448,26216,10585,2.47557864903165,27032,1581,4405,5382,6039,5440,2264,1366,555,40.4340124003543,15368,6794,659,3382,829,27011,22220,15233,14339,894,6987,13714,1999,11715,8458,1025,1832,268,132,388085,1052,4459,4001,1229,19816,1592,5115,3373,1568,5217,2951,1326,1576,1395,1705,2485,2254,90740.4692082111,42024.39260876,10741,7239,3502,875,11616,5536,151,2357,1892,929,340,379,32,5.84352984797924,182,839,1206,5199,4190,1949.81200727714,1448,4514,3712,1532,410,388,1560,4312,927,358579.565681737,3395,42,619,1481,1179,74,1339.64646464646,9966,728,775,9468,9305,1273,1555,1289,2844,943,642,1161,1353,561,21532,1061,152,1291,421,980,11588,Health Care,Retail Trade,Education,Professional,Manufacturing,1619,1232,1168,1051,899,5323,Real Estate,Manufacturing,Health Care,Administration,Retail Trade,879,772,669,491,472,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,5656,2137,618,509,295,Outside of Chicago,Jefferson Park,Portage Park,Belmont Cragin,Austin,2634,227,202,120,114,,,,13148.730746,,,,,,,,,,1489.16879204283,501.584108136703,0.336821528101346,178.00211293774,0.119531186718973,9.95468079562207,0.00668472294666228,57.2244474463908,0.0384271062838287,26.336623790937,0.0176854524024833,52.9238489674595,0.0355391875321661,525.657722800033,0.352987334685505,0,0,133.47611956074,0.0896312898000221,4.0091276072086,0.00269219152901324,3047,3349,1715,2630,6805,639,3936,791,0,0,791,1943,192,303,1448,1375,286,442,647,6393,4020,1490,883,20039,6993,25451,10944,4533,14507,4182,2822,191,1099,555,244,639,1079,133,21101,2881,81,1237,559,,,,,,,,,,,,,,,,,,,,,,,,,cf8ed163-39fd-47ee-aa70-06fa599819d8
13,12,Forest Glen,18165,18508,19596,7021,2.78521578122775,19855,1404,3865,2586,4551,3843,1984,949,673,41.6159513132607,14603,2139,193,2188,732,19811,15193,9934,9455,479,5259,9286,1596,7690,5381,949,971,289,100,262560,349,2302,3101,1281,13887,621,2225,1990,856,4339,3856,548,735,612,705,1161,3272,139045.698924731,70692.5227902292,7033,6454,579,291,7324,6345,367,337,65,12,83,115,0,7.41327913279133,188,381,570,4437,1748,1952.8821942446,105,1653,3334,1716,516,164,345,2549,3389,518275.176678445,510,0,40,157,169,144,1946.15384615385,6682,348,351,6616,6481,417,840,878,1718,590,359,488,681,344,14839,894,80,575,319,744,8584,Health Care,Education,Professional,Public Administration,Retail Trade,1171,1147,917,853,650,3951,Health Care,Retail Trade,Professional,Construction,Accommodation and Food Service,1328,491,474,263,213,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3259,2311,627,431,251,Outside of Chicago,Forest Glen,West Ridge,Portage Park,Belmont Cragin,2428,251,98,74,68,,,,15428.9324158,,,,,,,,,,2046.16001758576,825.824600179946,0.403597271514633,32.2197515620966,0.0157464476312622,7.00160596978416,0.00342182718341124,44.980630314331,0.0219829485122103,42.925341592197,0.0209784871287066,10.4376313179174,0.00510108262707268,606.804077850057,0.296557489460682,0,0,471.463513748931,0.230413804246456,4.50286505049848,0.00220064169556561,1589,2045,1099,2300,5270,138,1763,390,0,39,351,843,34,148,661,612,66,259,287,5119,3639,897,583,16248,3607,18451,5068,1744,13383,1538,646,268,273,127,162,481,1394,179,14793,1389,71,1586,326,,,,,,,,,,,,,,,,,,,,,,,,,238350f7-d4a5-4a77-9182-5bab8d0be977
14,13,North Park,18514,17931,17559,6658,2.60768999699609,19398,1887,3069,3777,3628,3464,2006,895,672,38.4231041814316,8633,3423,537,6097,708,18784,15431,8902,8571,331,6529,8383,1101,7282,4662,457,1470,404,289,247465,994,3146,2093,579,13311,1511,2687,1802,951,3658,2702,1209,1134,1080,754,1053,1582,74648.7603305785,37155.5285596453,6812,3619,3193,706,7518,2473,167,1218,981,804,530,1345,0,5.63269230769231,49,1033,922,3223,2291,1952.04918032787,1944,2510,2039,709,316,364,755,1340,1076,372620.380739082,3062,409,575,1077,957,44,1177.13730569948,6487,564,325,6387,6064,425,1260,890,2150,915,334,735,1101,330,14804,751,183,929,318,720,6419,Health Care,Retail Trade,Education,Professional,Manufacturing,1127,666,663,592,447,6302,Education,Health Care,Retail Trade,Wholesale Trade,Manufacturing,1939,991,779,513,407,Outside of Chicago,The Loop,Near North Side,North Park,Near West Side,2828,1083,410,287,254,Outside of Chicago,North Park,West Ridge,Albany Park,Portage Park,3123,287,259,208,183,,,,11584.0276633,,,,,,,,,,1613.59213265847,250.351146994079,0.155151442503388,248.437457472465,0.153965461558835,4.98905109704764,0.00309189106470664,64.8082378627621,0.0401639525571976,393.970527419817,0.244157441924765,69.3284255514232,0.0429652724181305,324.215359358191,0.200927702110217,0.280899674749739,0.000174083443433096,251.394875728893,0.155798278041123,5.81615149903973,0.00360447437820445,2099,1912,821,1980,4331,579,2481,881,82,172,627,1300,103,260,937,1080,154,479,447,3326,2314,480,532,11794,7604,17511,9016,3588,8495,2152,622,130,1172,435,683,1141,2430,251,10336,2652,452,4415,659,,,,,,,,,,,,,,,,,,,,,,,,,152b7b1d-d37a-4203-88e1-e8c358c0b6af
15,14,Albany Park,57655,51542,48396,17161,2.74273061010431,47663,2713,8339,12562,10629,8095,3723,1104,498,35.2574573863636,16037,21083,2024,7044,1475,46345,39355,28150,26318,1818,11205,25634,3449,22185,11658,2164,6066,1831,466,766895,3258,8283,4366,1171,32646,6240,6857,3821,1907,8978,4843,2143,3208,2888,2120,3231,3488,78537.7358490566,38400.7442670415,17078,7090,9988,1543,18621,4026,205,3321,3808,3585,1316,2326,34,5.44359564671411,455,1018,1482,3298,12368,1927.63947283312,3965,7770,4847,1486,553,330,1959,2927,1846,377383.177570093,9860,288,2016,4028,3284,244,1299.37034917001,16390,1805,688,15655,14638,1423,1944,1709,3653,913,678,1864,1779,718,37531,1257,198,2171,686,598,16438,Health Care,Retail Trade,Professional,Education,Accommodation and Food Service,2409,1873,1672,1427,1284,5262,Retail Trade,Health Care,Manufacturing,Accommodation and Food Service,Administration,1096,1035,753,525,447,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,6685,2680,1270,782,496,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,West Ridge,2578,496,159,145,131,,,,10033.1000962,,,,,,,,,,1229.14882353128,303.317792300683,0.246770599697819,295.091023489001,0.240077538081369,35.2079608040815,0.0286441805337542,74.5240486438311,0.0606306146311294,54.3023124241989,0.0441787937999169,10.1650734730918,0.00827001033437762,413.744433635566,0.336610527313446,0,0,28.4004296327925,0.0231057696912564,14.3957491280351,0.0117119659169317,4142,5162,3233,4541,10638,1899,6440,1243,11,83,1149,3884,127,627,3130,2884,599,1326,959,8787,5408,2611,768,29456,18207,44950,26616,13832,18334,17644,1839,261,2136,642,400,1151,2366,177,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,,,,,,,,888beb00-2ad2-4522-85d7-ce651529dc92
16,15,Portage Park,65340,64124,63020,23436,2.68450247482506,64213,3773,10919,12893,14555,13141,5533,2209,1190,39.3669113386131,29962,27526,1103,3697,1925,64112,52612,36401,34429,1972,16211,33803,3872,29931,21255,2874,4727,564,511,1110210,2313,9473,7864,3345,45321,5491,12065,8472,3172,11016,5105,2856,4220,3114,3121,4183,5501,85473.4059596283,38487.5287402862,22995,14212,8783,2299,25294,11549,355,5449,3623,2072,984,1217,45,5.89047539055938,474,1501,2528,6855,13936,1935.37528702641,3621,8896,7387,3297,2093,762,3966,7939,1494,349463.835155593,8571,267,1603,4161,2460,80,1276.33264992312,21447,1719,1548,20588,20081,2407,3516,3165,6681,1377,1262,2406,3689,1421,51155,2860,453,3487,1115,1626,24527,Health Care,Retail Trade,Education,Manufacturing,Professional,3352,2716,2194,2070,1964,7060,Retail Trade,Health Care,Accommodation and Food Service,Construction,Finance,2117,1367,715,624,476,Outside of Chicago,The Loop,Near North Side,Near West Side,Portage Park,11037,3983,1512,1079,759,Outside of Chicago,Portage Park,Belmont Cragin,Dunning,Austin,3506,759,301,256,147,,,,13484.9202248,,,,,,,,,,2529.7517939302,939.303508321967,0.371302635529581,402.808800719346,0.159228585858041,41.1871425201999,0.0162811002324509,142.435146442389,0.0563040005680177,89.2534756872993,0.0352815149302201,19.707823259258,0.00779041774238262,813.019467265257,0.321383097431135,0,0,70.0608160563413,0.0276947391536367,11.9756136581376,0.00473390855453547,5799,7195,3850,6151,15316,1499,7679,1888,0,84,1804,4839,382,620,3837,3096,1014,1056,1026,12748,8633,2883,1232,44131,20082,60440,31890,12865,28550,19315,6676,146,1752,800,61,935,1859,346,45418,15022,336,2467,2097,,,,,,,,,,,,,,,,,,,,,,,,,4ec66e24-13f1-4187-a1e6-7f85356f7467
17,16,Irving Park,58643,53359,51940,21342,2.41786149376816,53584,3755,8639,12477,13704,9193,3554,1728,534,36.909163188233,24202,20653,1739,5005,1985,53188,42958,32499,30585,1914,10459,30084,5586,24498,14908,2229,5563,1146,652,850280,3023,10278,6754,1771,38778,4905,7774,5476,2272,11393,6958,2759,3489,3318,2842,3820,5598,86849.0499648135,48319.7332785906,21826,11357,10469,1541,23367,6734,668,4813,3928,3520,1633,2027,44,5.59554405874499,734,1940,1652,4914,14127,1931.3516670206,4569,9103,5696,2658,1341,586,2475,3922,4303,423121.055651176,10117,270,1776,4850,3016,205,1287.03059805285,20733,1575,1093,20051,19623,1775,2626,1744,4370,1276,948,1394,1961,637,41635,1486,324,2395,734,917,21097,Health Care,Professional,Retail Trade,Education,Administration,2804,2310,2110,2019,1533,9726,Health Care,Wholesale Trade,Retail Trade,Accommodation and Food Service,Administration,1792,1653,1147,808,673,Outside of Chicago,The Loop,Near North Side,Near West Side,Irving Park,7812,4132,1782,1317,571,Outside of Chicago,Irving Park,Belmont Cragin,Austin,Portage Park,4117,571,360,335,324,,,,11855.3114851,,,,,,,,,,2057.17602681762,528.806833814342,0.257054732760224,396.431596659172,0.192706696700349,47.3224391844359,0.0230035925791154,102.59358302687,0.0498710765094706,73.3262109499951,0.0356441111475659,63.118348674294,0.0306820358838889,744.759216995868,0.362029893060725,0,0,93.5956506995012,0.045497152153912,7.2221468131385,0.00351070920474945,6816,6959,3145,4906,12626,1631,9200,1638,12,70,1556,4179,252,525,3402,3283,559,1479,1245,12107,7591,3042,1474,39921,13663,49829,22036,8428,27793,14777,1451,129,1949,591,236,802,1859,242,25912,25401,1121,4362,1847,,,,,,,,,,,,,,,,,,,,,,,,,741d5e5f-308a-44de-a2d7-811134639258
18,17,Dunning,42164,41932,43147,15746,2.7283754604344,42574,1648,7573,7707,8546,10043,3873,2386,798,43.435773480663,23608,14620,990,2420,936,42380,35309,23466,22218,1248,11843,21695,1712,19983,15648,1919,1593,258,565,734125,1027,6456,6050,2666,30772,3153,9754,6990,2482,5574,2819,2369,2386,2461,2315,3118,3550,84541.0367170626,38970.4882087659,16199,12680,3519,874,17073,11240,271,1624,1011,1345,210,1313,59,5.91127565601455,237,1969,2209,8015,4643,1954.28553830993,1670,5918,6043,2496,946,859,5005,6129,648,310599.024843278,3269,19,756,1472,942,80,1215.09009009009,14830,1510,1369,13820,13461,2379,2223,1976,4199,1067,982,1419,2334,952,34215,1490,191,2143,669,1196,18731,Health Care,Retail Trade,Education,Manufacturing,Public Administration,2447,1984,1920,1722,1433,5082,Health Care,Retail Trade,Education,Construction,Professional,1156,596,582,420,410,Outside of Chicago,The Loop,Near North Side,Near West Side,Dunning,9565,3301,841,653,452,Outside of Chicago,Dunning,Portage Park,Belmont Cragin,Norwood Park,2546,452,159,120,102,,,,14811.8364973,,,,,,,,,,2378.23056236538,1012.21695433005,0.425617671536147,138.466576186234,0.058222519875666,21.6360886051138,0.00909755721228082,65.9368761571916,0.0277251824110826,357.940627473376,0.150507117828547,27.7739087095898,0.0116783919730499,641.811987431011,0.269869539811425,0,0,87.4341030107384,0.0367643509398756,25.0134404620698,0.0105176684119271,4498,4832,2868,4001,11086,740,5113,1558,110,83,1365,3005,237,858,1910,2414,878,505,1031,8851,5851,2091,909,28805,13769,40926,20599,8760,20327,9713,7376,103,1246,470,34,158,1215,284,34394,5441,234,1315,780,,,,,,,,,,,,,,,,,,,,,,,,,a4279ad1-d15b-4f5d-abad-c6775e19a5ce
19,18,Montclare,12646,13426,14401,5010,2.8502994011976,13765,909,2381,2414,2905,2766,1597,468,325,41.506,4686,7520,923,432,204,13662,11231,7067,6784,283,4164,6638,783,5855,4969,325,294,73,194,217030,605,1666,1398,1096,9705,1844,2998,2197,974,1117,575,968,859,726,526,842,844,69038.4615384615,33574.4347257537,4765,2732,2033,385,5150,2928,157,341,340,488,289,607,0,5.71565217391304,269,650,519,2290,1422,1949.68907563025,819,1831,1336,772,392,178,1173,1309,72,301602.564102564,1994,211,312,660,687,124,1296.05263157895,4236,324,529,4120,3982,645,895,1024,1919,469,277,646,1133,625,10638,1122,71,937,541,370,5056,Health Care,Retail Trade,Manufacturing,Education,Administration,715,602,548,425,420,2121,Retail Trade,Health Care,Manufacturing,Accommodation and Food Service,Construction,634,596,311,133,84,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,2546,758,224,201,113,Outside of Chicago,Belmont Cragin,Montclare,Austin,Portage Park,1269,107,83,76,61,,,,13836.3361122,,,,,,,,,,633.070413023628,247.933877130116,0.39163712602829,71.2943291854957,0.112616744865685,5.88658529171516,0.00929846849673489,53.7545098962759,0.0849107915808878,28.72303203843,0.0453709910422839,16.2505578958901,0.0256694319645666,193.131104931252,0.305070496042979,0,0,10.4554712728745,0.0165154950504444,5.64094538157905,0.008910454928129,1446,989,863,1467,3204,528,1561,673,0,43,630,1137,114,147,876,704,103,102,499,2212,1420,630,162,9464,4301,12856,7734,2862,5122,5518,1508,19,138,93,27,96,161,174,6892,4865,264,337,288,,,,,,,,,,,,,,,,,,,,,,,,,a4694942-dc52-4c88-a5cb-6f03d385fd3f
20,19,Belmont Cragin,78144,78743,78116,23450,3.32200426439232,73991,4641,16373,15330,15787,13110,5480,2455,815,35.5728983468167,10785,57542,2589,1836,1239,73696,57901,37370,35633,1737,20531,34741,2166,32575,22805,3697,4448,973,652,1255005,3237,8886,7341,3604,47640,13858,14315,8418,3404,5321,2324,4156,5477,3570,3720,3448,2697,62476.2381190595,25325.007217094,23068,11946,11122,1666,24734,9793,463,6219,4668,2018,668,879,26,5.71821255328532,598,1316,2417,6870,13533,1935.69201211853,4440,9303,6712,2605,1674,796,5355,5324,455,296705.632306057,10667,195,2863,5210,2301,98,1179.45583596215,20936,3211,2132,19508,18266,3560,3727,4064,7791,1578,2023,2829,4223,1796,54984,3108,671,4453,1294,1373,24934,Retail Trade,Health Care,Manufacturing,Administration,Accommodation and Food Service,3352,3328,3308,2192,2062,7813,Retail Trade,Accommodation and Food Service,Administration,Manufacturing,Health Care,3109,845,726,610,578,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12268,2865,1167,855,778,Outside of Chicago,Belmont Cragin,Austin,Portage Park,Logan Square,3883,778,236,232,180,,,,13332.7135666,,,,,,,,,,2504.57638682305,711.071248063974,0.28390878864986,397.381038110295,0.158661975813945,48.3356369067109,0.019298927020558,236.495084962636,0.0944251835188068,149.300906191752,0.0596112408378706,108.168191105821,0.0431882180455385,775.682565263544,0.309706092153757,0,0,64.9922270353364,0.025949389037312,13.1494891829774,0.00525018492235205,5521,5507,3410,8630,16349,3007,6719,2793,0,88,2705,6242,204,923,5115,3518,879,1136,1503,9791,5752,2974,1065,47484,26507,69350,53549,23778,15801,47481,3730,51,1026,320,5,399,467,70,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,,,,,,,,a6d9797a-4839-4833-9be9-088497a7d75b
21,20,Hermosa,26908,25010,24062,7544,3.18358960763521,23157,1332,4840,5323,4756,3879,2001,673,353,35.2260422306443,2862,18546,805,698,246,23117,18553,12417,11722,682,6136,11492,788,10704,7004,1025,2034,460,181,374630,929,3148,2160,1170,14992,4205,4220,2648,897,2303,719,1104,1708,1467,935,1253,940,66072.9058945191,27052.806192512,7407,3601,3806,637,8044,2372,95,2421,1837,800,429,75,15,5.71182795698925,89,242,497,1764,5452,1926.88554658841,1564,2982,2026,852,620,330,1406,1626,197,303184.480234261,3644,100,983,1974,570,17,1171.38218923933,6808,750,599,6505,6151,902,1097,1073,2170,621,649,971,886,380,17757,724,333,823,540,474,7665,Health Care,Retail Trade,Manufacturing,Administration,Accommodation and Food Service,1064,958,936,631,626,3592,Manufacturing,Construction,Retail Trade,Information,Accommodation and Food Service,2215,312,195,153,131,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,3351,934,455,310,255,Outside of Chicago,Belmont Cragin,Hermosa,Austin,Logan Square,1695,204,169,114,103,,,,12551.1006445,,,,,,,,,,748.435317087207,167.391978999158,0.223655906098367,145.65353216483,0.194610714966913,14.5188843937222,0.0193989835357148,26.5207464693507,0.0354349211800497,19.2334034581172,0.0256981505535717,110.894962514404,0.148169066828634,245.548104363374,0.328081931407257,0,0,15.5266902563074,0.0207455339183282,3.14701446794384,0.00420479151116429,1549,2096,1139,2623,5207,865,2200,638,0,34,604,1921,117,248,1556,1460,429,453,578,3047,2122,698,227,15687,7470,21825,16002,7312,5823,15031,98,22,371,67,0,44,223,146,3086,22574,649,319,280,,,,,,,,,,,,,,,,,,,,,,,,,36b68c5e-7d84-429b-b813-976cfe26564f
22,21,Avondale,43083,39262,36257,14578,2.4769515708602,36374,1917,5143,12175,8113,6034,1874,814,304,33.9729517836143,13728,18617,829,1721,1479,36273,30613,23926,22580,1336,6687,22330,4150,18180,9747,1702,5355,1193,183,645075,2411,6967,3997,1068,26369,3442,6092,3362,1725,7826,3922,1665,1928,2264,2062,2864,3660,91543.4044616877,46110.8717490515,14443,6139,8304,1438,15881,2752,512,4752,4605,1856,554,839,11,5.52635256538231,719,1793,1099,2865,9405,1932.21424774056,2197,7716,4431,1058,479,371,1108,2182,2450,444753.649635036,8208,130,840,3204,3513,521,1490.77976817703,13766,862,677,13332,13038,1111,1619,1283,2902,602,863,1270,933,297,29862,1117,153,1799,533,417,14731,Health Care,Professional,Retail Trade,Education,Manufacturing,1840,1770,1517,1190,1121,8175,Retail Trade,Manufacturing,Utilities,Accommodation and Food Service,Construction,1430,1408,974,695,676,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5243,2792,1231,1030,495,Outside of Chicago,Avondale,Belmont Cragin,Logan Square,Irving Park,4004,361,307,245,219,,,,10703.255688,,,,,,,,,,1269.28276138061,167.513657417833,0.131975051197911,311.125860083171,0.245119424567585,46.3293014431727,0.0365003786806178,109.404338875565,0.0861938271000894,30.59265448213,0.0241023162158557,106.729988892249,0.0840868497860619,477.030573948656,0.375826875195079,0,0,8.81898216150814,0.00694800436107368,11.7374040763276,0.0092472728957263,4000,5220,2499,2724,7777,1118,6666,1029,0,11,1018,2154,103,278,1773,2254,318,736,1200,8577,5585,2132,860,27386,8988,34457,16792,6233,17665,13980,1103,91,524,35,245,240,527,47,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,,,,,,,,805a6115-c0e9-4294-922f-257bf556d7bb
